	Atha_Ler.0_sShoots_FLT_Rep1_F.F2_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep2_F.F3_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep3_F.F4_raw.CEL	Atha_Ler.0_sShoots_GC_Rep1_H.F2_raw.CEL	Atha_Ler.0_sShoots_GC_Rep2_H.F3_raw.CEL	Atha_Ler.0_sShoots_GC_Rep3_H.F4_raw.CEL
254413_at	1.25376934093343	1.12959915233938	1.39976206268896	4.35005689289293	2.31770062317883	2.10671827563735
254414_at	1.83432629701798	1.72001885169046	2.25280723174952	3.10653111740068	4.6763274362189	4.03611342902823
254415_at	3.34430353064433	3.29098658766687	3.29490368453085	2.40752975557382	3.30445586255324	3.34325918256617
254416_at	1.03958867409564	0.662623656710189	0.982792880199531	1.12509905312208	0.906324479148483	1.14828681474646
254417_at	2.26992561612384	1.98083278719994	1.77208662534802	1.61232401826548	1.61071685123488	2.08762949967166
254418_at	1.89028998017815	2.0666403555719	1.78647061970685	1.86142413689008	2.41975442132003	2.11154422873125
254419_at	1.67303901618124	1.46970281985987	1.79253890009252	1.34859612126889	1.6587191102124	1.68526398731071
254420_at	0.964467737162681	1.14518638897281	0.977734972613707	1.46930453712625	1.30903538345695	1.23977701127308
254421_at	1.7177245837048	2.11858970125983	1.89722069960384	1.19009046391005	1.59655377881276	1.54046922318007
254422_at	3.76364100353417	3.22207047825333	3.55394680529796	3.53123557142952	3.77823413628675	4.53577112812316
254423_at	3.07750446361927	3.48720732231643	3.21525274209219	3.1705835915857	3.41611747788879	3.48720732231643
254424_at	4.31843662529361	4.18983114685011	4.66528210076847	5.963191875539	4.86102027156564	5.47204032025681
254425_at	5.72098184192613	5.50271944569014	5.85292357998064	5.96462947647219	5.54580425169874	5.78055026214264
254426_at	1.11229700950216	1.43141058217512	1.03176720387083	1.38315337219041	1.08704879277266	1.36006080793577
254427_at	2.42515823307658	2.64246272204925	2.91984869567373	2.96254105891312	2.98600039788	3.45292559238961
254428_at	5.12765710210365	5.05676911033089	4.70623907478504	4.92260891505344	5.12765710210365	4.33156548194451
254429_at	7.32029645315535	7.72426336406986	7.57040128065344	7.39713382806907	7.18963512704947	7.07963266619163
254430_at	4.09474127625669	3.60339994838384	3.92531148180974	4.75623296087844	4.27510547026815	4.44116165391507
254431_at	3.58133093549798	3.08632724703488	2.89003476838672	2.69551339962932	1.97977289358123	2.71409326517426
254432_at	5.48830924214402	5.61769691629364	5.19782985675037	6.5332975057296	5.47696339307687	5.42155533828213
254433_at	7.17649040822182	7.05642318128245	7.16464545465528	7.04080435697999	7.65259479207064	8.1162702082441
254434_at	6.98207118026841	6.81507128088178	6.55989901668189	6.48569308268125	6.22656435785311	6.51768096781866
254435_at	1.42388272784678	1.35803776106741	1.52051478664116	1.46298053901515	1.24770032498493	1.27868414378421
254436_at	1.200676982218	1.58808755286907	1.17328307416943	1.63035439242663	1.44576938028505	1.16676819745052
254437_s_at	1.20441804523471	1.14072528552657	1.17809773359492	1.48273356028056	1.46906421378935	1.14609095423392
254438_at	4.67615720883011	4.81495943826723	4.87379136398592	4.44098760169668	4.43185786903584	5.16943470368723
254439_s_at	0.955033214055047	1.10472339932536	0.956109335917598	1.52217906157176	0.823137253296136	0.921911189972713
254440_at	1.3493912656143	1.60296960564988	5.5176986846861	1.88637128561042	8.73565806601729	9.47476705247749
254441_at	1.35210724314223	1.38314908277097	1.35436392051919	1.51329183268818	1.14072528552657	1.17316982140901
254442_at	1.88788805860009	1.79911413664384	1.91112272831661	1.32483133321897	1.47572685953609	1.69163170287292
254443_at	1.38834860155985	2.12277597185252	1.96707043975694	1.89905764378441	1.63788078858563	1.44314084637818
254444_at	1.48459053285656	1.76923068645864	1.4668143678245	1.62357917853801	1.42158297885706	1.654700984647
254445_at	2.8824387226259	3.27567668496872	3.63005206228591	3.5987835358875	3.87554114564069	3.7393947790657
254446_at	6.50746759328376	6.82735679687991	6.66964945211625	6.33809817478803	5.80112185226292	5.90026867117985
254447_at	1.32471301448795	0.880411727286931	1.28373122606036	1.59725885183195	1.2437901287566	1.42914812618284
254448_at	4.43869335005039	4.58707819884431	5.07714111587795	2.60980646643715	2.90953671206238	3.12612133277434
254449_at	1.69844522554519	2.06157435332783	1.69640541760044	1.81878696730371	1.61603588405436	1.37951901005425
254450_at	1.32471301448795	1.62889903011649	1.13555166004605	1.16655653837672	1.39276387205489	1.39976206268896
254451_at	5.52153134245379	5.561774638009	5.37572136558882	6.39799421359915	5.35108402272217	5.64517211849724
254452_at	2.67856712748432	2.6327608925758	2.29361568802429	2.48996309164936	2.57694337911554	3.16598860163022
254453_at	2.10273605806029	2.42659901806689	2.14298539505009	3.8672006006462	2.68821143974436	3.01641004904045
254454_at	1.44227745737763	1.1728633135741	1.21358395512282	1.26217170895795	1.23325515563788	1.03462390728173
254455_at	4.94918496653185	4.87247282385104	5.0673477540395	4.44028783368462	4.86102027156564	4.91691807992313
254456_at	3.16043561178654	2.09127404973213	2.82428256339708	2.3143274474859	3.14100755779964	2.7628336516553
254457_at	1.86183987632404	2.15444184662941	1.47327548361819	1.45876969557516	1.89729121954493	2.02091207692659
254458_at	2.41223283064046	2.44110572827496	1.93930207229358	2.3143274474859	2.05810335582388	2.22614252515725
254459_at	1.53837323711976	1.03148043930784	1.20482328843643	1.03974186607768	1.35732989830811	1.11910943007087
254460_at	3.23147258688562	3.78119839484882	3.64821650247432	3.2046541633112	3.20333208877553	3.31569260544137
254461_at	1.41344483178264	1.84107574343983	1.38876174560338	1.98714377593336	1.37818233180774	1.22965161089853
254462_at	7.13519540680796	7.11334660903986	7.364632993602	7.4204022341266	6.58564162668454	6.77296061971126
254463_at	4.8225204777743	3.89856527810816	3.83275020749795	3.8803613811456	4.03572680616535	3.94096209840084
254464_at	3.20338768727654	2.87345210824555	2.87349119090197	2.65106187687835	2.44832192302725	2.70184015883427
254465_at	1.16940932760362	0.992539926951239	1.06873253775592	1.17065512710117	1.09256581595169	1.10279496483274
254466_at	1.81511176734947	3.79015603945738	1.74562150808654	1.32934335185876	1.60722865810323	1.2434640970395
254467_at	1.26655860074285	1.15243146975735	1.09321462032231	1.5858682328493	1.1924965733499	1.14918700545858
254468_at	1.73503062226583	1.43243234718147	1.62203717811866	1.69987351035057	1.40594323539949	1.25894440922164
254469_at	0.968610070697098	1.22700623073436	0.996830874175341	1.42583521213422	1.15462656901124	1.16058632977923
254470_at	1.51471787495919	1.48662493900255	1.41095753983286	1.67829506627138	1.6853536511754	1.7439602695377
254471_s_at	2.34453576857239	1.9627342229305	2.20065673585739	2.90440474299955	1.82266317482071	1.80110769280242
254472_at	1.42720247785082	1.67243680356577	1.3117286808719	1.74498545085472	1.32471301448795	1.35771042035657
254473_s_at	2.389061109296	2.05040932684549	2.31172207462386	2.23462985382517	2.56422161070951	2.43374425336694
254474_at	3.50761785830195	3.39457030429481	3.39457030429481	1.95744166646815	1.50844792517156	1.8778219189947
254475_at	5.27496590233729	4.74282595385223	5.09533847728156	5.00161697695675	5.62029189753716	4.75297755652549
254476_at	5.03408183554379	4.81462441188857	4.92829110112298	4.98485602457232	5.11217330445211	4.87682441100463
254477_at	7.07702020403871	7.42152471942442	7.1435123501601	7.42504544099493	7.45970518237701	7.29774535864485
254478_at	5.97722894311255	5.931149557625	5.96306914677672	6.11257982605605	5.29816121891944	5.61477591427239
254479_at	1.24964541318026	1.38560261648155	1.20349750058781	1.24129951072018	1.2537403025117	1.26638091515176
254480_at	5.23774858913815	5.56295647512798	5.45608952723045	4.96817457638675	4.71771665578804	5.41962138986125
254481_at	2.21759985302688	2.15074179548335	1.91056045085978	2.13427515614519	2.28613099983004	1.99388514774146
254482_at	1.42215188128117	1.19958033441404	1.55994319386821	1.21271687541219	1.40558600738337	1.31357762687907
254483_at	1.28555980453838	1.2345902668299	1.49104286551029	1.39598618553371	1.60249247971527	1.84183492827185
254484_at	1.34863707147052	1.28157382614833	1.24145792438578	1.45663191661253	1.38046391092036	1.44034682690061
254485_at	1.46240455290362	1.34468844742713	1.14837114926025	1.83263657391227	0.952756188347429	1.6897138636023
254486_at	1.30963535504364	1.49529722061986	1.50669091646585	1.46226509727584	1.60468857567785	1.63529636221054
254487_at	1.51299843395893	1.92012364494497	1.70453068696542	1.67876324552349	1.80364238077007	1.56058382160775
254488_at	1.25878053610248	1.13570423401475	1.15398227706295	1.41148344676518	1.09692944520337	1.17311690959155
254489_at	1.12012276053681	0.937548134060009	0.971766051068768	1.45685980934047	1.28169782662496	1.12406307354758
254490_at	2.85419341502057	2.71262688384061	2.77151849478939	2.84016259154067	2.12788136372286	3.43400200931063
254491_at	4.80661725334209	4.95197748225923	4.7800053276367	4.44352578078135	4.5596520516839	4.16871510126804
254492_at	9.64739643944494	9.55358322266275	9.56352156378949	10.0432696358041	9.88052043206081	9.39538758921144
254493_at	4.26977653141761	4.68708728396292	4.40262141914341	4.32492631108113	4.46315577745672	4.55662486989912
254494_at	1.22965161089852	1.35885281828985	1.35574486114413	1.78991054367038	1.53837323711976	1.2006420779899
254495_at	1.36151341328821	1.44529588936818	1.35999814929407	2.29926722284959	1.88920487162959	1.68526398731071
254496_at	3.12416050211973	2.53505669020796	2.8577977840404	1.74096117027081	3.79516171038136	3.03229125431948
254497_at	1.26787959678813	1.27169152985533	1.25520797207186	1.38260274985093	1.68031533221263	1.59268873890126
254498_at	2.76441614288888	2.45300806516516	2.55091876784809	2.59247472504673	2.80187212694545	2.91130689307983
254499_at	1.45387605123478	1.33055542876147	1.37785201358258	1.34409692593482	1.42517633156489	1.49872201218489
254500_at	2.64013276807662	2.36110728696757	2.11860105907175	3.1120534865487	3.67805869124493	3.34484223505102
254501_at	1.0490989888646	1.24577850218504	1.37871621925211	1.38568982452667	1.88772818570539	1.42235580319643
254502_at	1.89067359878978	1.63919331645666	1.91078350099724	1.3872245669487	2.01109629230603	1.92645939864571
254503_at	2.26780206305294	2.28647970301706	2.92522218054526	2.63659506112811	2.65654823115597	2.59701443172541
